Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.9511627906976744,0.9455782312925171,0.9144736842105263,0.9297658862876255,0.937358008330178
XGBoost,0.9465116279069767,0.9387755102040817,0.9078947368421053,0.9230769230769231,0.9446705793260128
SVM,0.8418604651162791,0.7441860465116279,0.8421052631578947,0.7901234567901234,0.8974346838318819
Logistic Regression,0.8162790697674419,0.6951871657754011,0.8552631578947368,0.7669616519174042,0.8830935251798562
